0,1,2,3,4
34210.206486354,2240500,29,2239200,364
34210.515211316,2240700,100,2239200,364
34210.515211316,2240400,29,2239200,364
34210.706474037,2240700,100,2239200,364
34210.706474037,2240300,29,2239200,364
34210.910418382,2240700,100,2239200,364
34210.910418382,2240400,29,2239200,364
34210.966978058,2240700,100,2239200,364
34210.966978058,2240700,100,2239200,364
34211.618610908,2240700,500,2239200,364
34211.943114597,2240700,400,2239200,364
34211.943114597,2240700,100,2239200,364
34211.967039643,2241000,1100,2239200,364
34211.967968333,2241000,1000,2239200,364
34211.970165989,2241000,900,2239200,364
34212.161685865,2241000,900,2239300,100
34212.165104681,2242400,20,2239300,100
34212.165315424,2242400,20,2239300,100
34212.165315424,2242400,20,2239300,100
34212.165315424,2242400,20,2239200,364
34212.165315424,2242400,20,2239200,364
34212.165315424,2242400,20,2239200,364
34212.37437678,2242400,20,2240900,100
34212.376037666,2242400,20,2240900,200
34212.376129044,2242400,20,2240900,100
34212.376129044,2242400,20,2241300,100
34212.376453932,2242400,20,2240900,100
34212.377481694,2242400,20,2239200,364
34212.461714019,2242400,20,2239200,264
34212.487961941,2242400,20,2240900,100
34212.530050106,2242400,20,2240900,187
34212.577101834,2242400,20,2240900,87
34212.677958048,2242400,20,2239200,177
34212.677958048,2242400,20,2239300,87
34213.186801146,2242400,20,2240900,100
34213.22784958,2242400,20,2240900,187
34213.324261399,2242400,20,2240900,287
34215.152124895,2242400,20,2240900,387
34215.180453936,2242400,20,2240900,487
34215.77821826,2242500,100,2240900,487
34215.77821826,2242500,20,2240900,487
34217.852825212,2242900,500,2240900,487
34217.887655328,2242900,500,2240900,487
34219.127707671,2242900,490,2240900,487
34219.376645056,2242900,290,2240900,487
34219.516845865,2242900,90,2240900,487
34219.51709589,2242900,190,2240900,487
34219.529935712,2242900,190,2240900,487
34220.233163353,2242900,190,2240900,564
34220.303127499,2242900,90,2240900,564
34220.30312952,2243000,500,2240900,564
34220.321456549,2243000,500,2240900,464
34220.534112308,2243000,501,2240900,464
34221.59679772,2243000,401,2240900,464
34222.165292881,2243000,301,2240900,464
34223.279632997,2243000,201,2240900,464
34223.280244371,2243000,121,2240900,464
34223.280536751,2243000,21,2240900,464
34223.280641818,2243000,1,2240900,464
34223.280641818,2244500,100,2240900,464
34223.367461134,2244900,100,2240900,464
34223.367706865,2244500,100,2240900,464
34226.018708882,2244500,200,2240900,464
34226.025401005,2244500,200,2240900,564
34226.027530424,2244500,200,2240900,464
34227.238645979,2244500,300,2240900,464
34228.006601932,2244500,200,2240900,464
34228.068360389,2244500,200,2240900,464
34228.397876255,2244500,200,2240900,464
34228.609009833,2244500,100,2240900,464
34228.611036074,2244500,200,2240900,464
34228.611563982,2244500,200,2240900,364
34228.613137713,2244500,200,2240900,464
34228.614015349,2244500,200,2240900,364
34229.064982046,2244500,200,2240900,464
34229.067206176,2244500,200,2240900,364
34229.324305974,2244500,200,2240900,287
34229.343638816,2244500,200,2241000,77
34229.34512286,2244500,200,2241000,177
34229.350536541,2244500,200,2241000,77
34229.356252519,2244500,200,2241000,177
34229.853048275,2244500,200,2241000,264
34229.931412705,2244500,200,2241100,100
34229.932946536,2244500,200,2241100,200
34230.013756435,2244500,200,2241100,287
34230.478073253,2244500,200,2241100,387
34230.689754679,2244500,200,2241100,387
34232.513860324,2244500,200,2241100,387
34232.513860324,2244500,200,2241100,387
34232.520197625,2244500,200,2241100,287
34232.521812825,2244500,200,2241500,100
34232.573694017,2244500,200,2242900,100
34232.573822327,2244500,200,2241500,100
34232.574758204,2244500,200,2241100,287
34232.655299914,2244500,200,2241100,187
34232.672145731,2244500,200,2241500,100
34232.935731616,2244500,200,2241500,187
34233.075680004,2244500,200,2241800,100
34233.085449148,2244500,200,2241500,187
34233.221829329,2244500,200,2241500,100
34233.221829329,2244500,200,2241800,87
34233.256629271,2244500,200,2241100,100
34233.256629271,2244500,200,2241700,87
34233.408223818,2244500,200,2241100,100
34233.408223818,2244500,200,2241500,87
34233.417830238,2244500,200,2241800,100
34233.43258895,2244500,200,2241800,200
34233.473889226,2244500,200,2241800,100
34233.619144977,2244500,200,2242100,100
34233.628225156,2244500,200,2241800,100
34233.629733981,2244500,200,2241500,100
34233.629733981,2244500,200,2242100,100
34233.76490814,2244500,200,2242400,100
34233.769776825,2244500,200,2242400,200
34233.915570031,2244500,200,2242400,200
34233.915653845,2244500,200,2242400,200
34233.915653845,2244500,200,2242400,100
34233.915653845,2244500,200,2242400,29
34233.915778233,2244500,200,2241100,100
34234.16404396,2244500,200,2241500,100
34234.384484467,2244200,300,2241500,100
34234.387132284,2244200,400,2241500,100
34235.012386337,2244200,400,2241500,200
34237.490743302,2244200,400,2241500,100
34237.492337446,2244200,400,2242500,100
34237.495511591,2244200,400,2241500,100
34237.63550326,2244200,400,2242500,67
34240.008747756,2244200,100,2242500,67
34240.011093076,2244200,100,2242500,167
34240.011692902,2244200,200,2242500,167
34240.022916349,2244200,200,2242500,100
34240.022916349,2244200,200,2241500,100
34240.022916349,2244200,200,2241500,100
34240.02316124,2244200,200,2242500,100
34240.026562698,2244200,200,2241000,77
34240.026825796,2244200,200,2242500,100
34240.344836321,2244200,200,2242500,177
34241.521556909,2244200,200,2242500,177
34241.699711291,2244200,200,2242500,77
34241.699961769,2244200,200,2242500,177
34242.009261551,2244200,100,2242500,177
34242.01625648,2244200,100,2242500,100
34242.01625648,2244200,100,2242500,77
34242.016481786,2244200,100,2242500,177
34244.430906893,2244200,100,2242500,100
34244.430906893,2244200,100,2242500,77
34244.431159304,2244200,100,2242500,108
34244.433892693,2244200,100,2242500,31
34244.433892693,2244200,100,2242500,8
34244.43400728,2244200,100,2241800,100
34244.43777594,2244200,100,2240000,10
34244.569134492,2244200,100,2240000,10
34245.2564172,2244200,100,2241300,16
34245.512185712,2241900,200,2241300,16
34245.512359815,2241900,200,2240000,10
34245.512866688,2244200,100,2240000,10
34245.513222246,2244500,100,2240000,10
34245.513309352,2244500,100,2241900,200
34245.513325389,2244500,100,2241900,400
34245.513338443,2244500,100,2241900,600
34245.515058317,2244500,200,2241900,600
34245.954758575,2244500,200,2241900,400
34245.966604549,2244500,200,2241900,200
34246.033579798,2244200,200,2241900,200
34246.036138083,2244200,300,2241900,200
34246.218550405,2244200,300,2240000,10
34250.005982141,2244200,100,2240000,10
34250.016994523,2244200,100,2238600,100
34250.017118716,2244200,100,2239400,10
34250.018037466,2244200,100,2238600,100
34250.018164917,2244200,100,2239100,10
34250.018847293,2244200,100,2238600,100
34250.018969632,2244200,100,2239500,10
34250.021343613,2244200,100,2238600,100
34250.021449181,2244200,100,2239000,10
34250.022635213,2244200,100,2238600,100
34250.022735727,2244200,100,2240000,10
34250.025791165,2244200,100,2238600,100
34250.025896175,2244200,100,2239000,10
34250.028171393,2244200,100,2238600,100
34250.028299867,2244200,100,2239100,10
34250.03947888,2244200,100,2238600,100
